,Unnamed: 0,casetype,id,casename,facts,ruling,facts_len,embedding,similarity
3982,3982,criminal,4884,도로교통법위반(음주운전),"피고인은 2009. 10. 27. 서울중앙지방법원에서 도로교통법위반(음주운전)죄로 벌금 200만 원, 2016. 10. 26. 전주지방법원 군산지원에서 같은 죄로 벌금 500만 원의 각 약식명령을 발령받았다. 피고인은 2021. 2. 1. 17:53경 군산시 B 앞 도로에서부터 군산시 번영로 939에 있는 대야오거리에 이르기까지 약 6.2km 구간에서 혈중알코올농도 0.056%의 술에 취한 상태로 (차량번호 1 생략) 그랜져 승용차를 운전하였다. 이로써 피고인은 음주운전 금지규정을 2회 이상 위반하였다.","피고인을 징역 1년 6월에 처한다. 단, 이 판결 확정일부터 3년간 위 형의 집행을 유예한다. 피고인에게 100시간의 사회봉사 및 20시간의 준법운전강의 수강을 각 명한다.",58,"[ 2.91145348e-04  2.22908158e-04 -1.13728652e-06 ...  2.33285900e-04
 -0.00000000e+00 -2.69536918e-04]",-0.02578972509248113
7584,7584,criminal,9437,폭행,"피고인은 2020. 2. 21. 16:40경 서울 용산구 B건물 7층 직원식당 앞에서 피해자 C(50세)에게 아무런 이유 없이 '돈을 왜 안 주냐'라고 말하며 손으로 피해자의 목을 잡아 누르고, 주먹으로 피해자의 가슴부분을 1회 때리고 계속하여 피해자의 얼굴을 때릴듯이 주먹을 수회 휘둘러 폭행하였다.","피고인을 징역 4월에 처한다. 다만, 이 판결 확정일로부터 2년간 위 형의 집행을 유예한다. 피고인에 대하여 80시간의 사회봉사를 명한다.",39,"[ 1.13414080e-06 -2.09957812e-04  1.13414080e-06 ... -2.03720032e-04
 -0.00000000e+00  2.60568835e-04]",-0.014408175637614581
3545,3545,criminal,4147,교통사고처리특례법위반(치상),"피고인은 (차량번호 1 생략) 그랜드스타렉스 승합차량의 운전업무에 종사하는 사람이다. 피고인은 2021. 11. 23. 17:37경 성남시 수정구 B 앞 편도1차 도로에서 위 승합차를 운전하여 C 방면에서 양지제2공영주차장 방면으로 좌회전하게 되었다. 그곳은 황색 점멸신호가 있는 곳이고, 교차로에 인접한 횡단보도가 설치되어 있었으므로, 이러한 경우 자동차 운전업무에 종사하는 사람에게는 속도를 줄이고 전방 및 좌우를 잘 살피고 길을 건너는 사람이 있는지 여부를 확인하며 안전하게 운전하여야 할 업무상 주의의무가 있었다. 그럼에도 피고인은 이를 게을리한 채 그대로 좌회전하여 진행한 과실로 피고인의 승합차 우측에서 좌측으로 횡단보도를 건너는 피해자 D(여, 64세)을 피고인의 승합차 앞 범퍼로 들이받았다. 그리하여 피고인은 피해자에게 약 14주간의 치료가 필요한 우측 원위 간부, 대퇴골, 무릎 골절 등의 상해를 입게 하였다.","피고인을 금고 8월에 처한다. 다만, 이 판결 확정일부터 2년간 위 형의 집행을 유예한다. 피고인에게 40시간의 준법운전강의 수강을 명한다.",104,"[-0.00027348  0.00020057  0.07001209 ... -0.00022167 -0.
  0.0002178 ]",-0.01152378338220756
15670,15670,civil,4558,손해배상(기),"가. 당사자들의 관계 원고는 2017. 11.경 (차량번호 1 생략) 특수 대형 트렉터 차량(이하 ‘이 사건 차량'이라고 한다)을 경남 고성군 E에 있는 주식회사 F(이하 ‘F'라고 한다)에 지입한 지입차주이고, 피고는 경남 고성군 G에서 ‘H'라는 상호로 중고자동차 판매업 등을 하고 있는 사람이다. 나. 원, 피고 사이의 이 사건 차량 매매계약과 이행 1) 원고는 2018. 12.경 피고와 구두로, 원고가 피고에게 이 사건 차량을 7,500만 원에 매도하기로 하는 내용의 계약(이하 ‘이 사건 매매계약'이라고 한다)을 체결하였다. 2) 원고는 2018. 12. 18. 피고로부터 매매대금 중 3,000만 원을 지급받았다. 3) 원고 대리인 I와 피고는 2019. 1. 3. 이 사건 매매계약과 관련하여 양도증명서(이하 ‘이 사건 증명서'라고 한다)를 작성하였는데, 그 내용은 피고가 원고에게 지급한 3,000만 원을 계약금으로 하고, 잔금을 4,500만 원으로 하며, 특약사항으로 ‘앞해드 3,000만 원, 번호판 4,500만 원, 2019. 3. 3.까지 번호판 4,500만 원 입금, 미입금시 차량과 번호를 반납'하는 것이다(‘번호판'은 화물자동차운송사업 허가에 관한 권리를 의미하는 것인데, 이하 ‘허가권'이라고 한다). 4) 피고는 이 사건 차량을 당진시 J에 있는 다른 회사에 매도하였고, 2019. 2. 19. 그 회사 명의로 이전등록을 마쳐 주었다. 5) 이 사건 차량에 관한 허가권은 화물자동차운수사업법령에 따라 F에 지입된 후 2년간 다른 운송사업자에게 양도할 수 없고, 다만, 차량만을 매도하였을 경우 일정한 기간 안에 다른 차량을 대체하면 유지되는 것인데, 위 대체 절차가 이루어지지 아니하여 소멸하였다.","1. 피고는 원고에게 45,000,000원과 이에 대하여 2019. 3. 4.부터 2020. 5. 7.까지는 연 6%, 그 다음날부터 다 갚는 날까지는 연 12%의 각 비율로 계산한 돈을 지급하라. 2. 원고의 나머지 청구를 기각한다. 3. 소송비용 중 2/5는 원고가, 3/5은 피고가 부담한다. 4. 제1항은 가집행할 수 있다.",195,"[ 1.04794947e-06 -2.32906779e-04  1.04794947e-06 ... -2.18104498e-04
 -1.04794947e-06 -2.54913728e-04]",-0.001857341792429648
3520,3520,criminal,4122,교통사고처리특례법위반(치상),피고인은 B 그랜드 스타렉스 차량의 운전업무에 종사하는 사람이다. 피고인은 2019. 11. 11. 08:20경 위 차량을 운전하여 익산시 C에 있는 D커피숍 앞 사거리 교차로를 E아파트 쪽에서 F에 있는 G매장 쪽으로 좌회전하게 되었다. 당시 그곳은 횡단보도가 설치되어 있는 곳이므로 모든 차의 운전자는 보행자가 횡단보도를 통행하고 있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞에서 일시 정지하여야 하는 업무상의 주의의무가 있다. 그럼에도 불구하고 피고인은 이를 게을리 한 채 전방주시를 소홀히 하고 진행한 과실로 횡단보도를 건너던 피해자 H(67세)를 피고인이 운전하던 차량의 앞부분으로 충격하였다. 결국 피고인은 위와 같은 업무상의 과실로 인하여 피해자에게 약 8주간의 치료를 필요로 하는 우측 무릎의 골절 등 상해를 입게 하였다.,"피고인을 금고 4월에 처한다. 다만, 이 판결 확정일로부터 1년간 위 형의 집행을 유예한다.",101,"[-6.69632554e-02  2.27601093e-04 -1.02177819e-06 ... -1.96564579e-04
  6.69632554e-02 -2.03589298e-04]",0.000328062650938267
7881,7881,criminal,9734,폭행,"피고인은 2018. 12. 27. 20:10경 인천 서구 B, C병원 D호 병실 내에서 지인인 E의 병문안을 마치고 나가려 할 때 같은 병실의 환자인 피해자 F(64세)가 ""가족도 아닌데 왜 와서 늦게까지 있느냐. 늦었으니 나가달라""고 하여 기분이 나쁘다는 이유로 ""병신, 남의 일에 참견하지 말고 당신 몸이나 치료 잘 받아라""고 말하며 장갑 낀 손으로 피해자의 코 부위 등 아래턱 부분을 3회 쳐 폭행을 가하였다.","피고인을 벌금 500,000원에 처한다. 피고인이 위 벌금을 납입하지 아니하는 경우 100,000원을 1일로 환산한 기간 피고인을 노역장에 유치한다. 위 벌금에 상당한 금액의 가납을 명한다.",60,"[-2.71495694e-04  2.22313625e-04 -1.06053005e-06 ...  1.79494717e-04
 -0.00000000e+00 -2.39149536e-04]",0.04989095774418223
13678,13678,civil,2973,손해배상(기),"가. 양자점(量子點, Quantum Dot)은 반도체 소재를 합성하여 나노미터(nm) 크기로 만든 결정체로 입자 크기에 따라 색이 변화하는 특성이 있어 디스플레이, 태양전지, 질병진단시약 등 다양한 분야에 적용할 수 있을 것으로 기대되는 물질이나, 내열성, 내화학성, 내습성이 취약하여 상용화에 어려움이 있다. 피고는 양자점에 내열성과 내화학성을 부여하는 기술을 개발하여 양자점 표면처리 물질을 만드는 원천기술을 보유하고 있다. 나. 원고는 양자점 표면처리 기술을 활용한 상용제품 생산 기술을 개발하기 위하여 설립된 회사로서 2017. 8. 1. 피고와 다음과 같은 '기술개발 용역계약을 체결하였다.  다. 원고는 2018. 2.경 1차로 상용제품 양산 기술을 개발하였으나, 실제 제품 생산에 적용하기 위해서는 아직 신뢰성이 부족한 것으로 드러나 추가적인 연구 개발이 필요하게 되었다. 그러나 피고가 경영난에 빠져 기술개발에 필요한 설비를 갖추기 어렵게 되 는 상황이 발생하였다. 라. 원고는 주식회사 C으로부터 5억원의 투자를 유치한 뒤 그중 2억 원이 피고에게 투자되기를 희망하는 주식회사 C의 요구를 반영하여 2018. 3. 30. 피고와 다음과 같은 내용으로 합의하였다.  마. 원고와 피고는 2018. 4. 24. 거듭 원고가 피고에게 2억 원을 투자하고, 피고는 원고에게 신주를 발행하며 연구개발에 필요한 비용을 공동부담하며 그로 인하여 생긴 지식재산권은 원고와 피고가 공유한다는 내용으로 '투자계약서'를 작성하였다(이하 원고와 피고가 위와 같이 체결한 일련의 공동 기술 개발 약정을 '이 사건 공동기술개발 약정'이라 한다). 바. 위 각 약정에 따라 원고는 피고에게 200,040,000원을 투자하였고, 피고는 원고에게 그 투자금에 상응하는 신주를 발행하였다. 사. 원고는 피고로부터 양자점 표면물질을 공급받고 피고의 시설을 이용하는 등으로 기술개발을 계속하였다. 원고는 2018. 6. 19. 피고에게 기술개발에 필요한 양자점 표면 처리물질 10kg의 무상 공급을 요구하였으나, 피고는 자금사정이 어렵다는 사정을 들며 원고에게 10g 당 70달러의 가격에 공급하겠다고 주장하여 양측의 의견이 다르게 되었다. 원고와 피고는 양자점 표면처리 물질의 단가를 계속 협의하였으나 결국 합의가 이루어지지 않는 바람에 피고는 원고에게 양자점 표면처리 물질을 공급하지 않았다.",1. 원고의 청구를 기각한다. 2. 소송비용은 원고가 부담한다.,261,"[-0.01020207  0.00653     0.01433696 ... -0.01770161  0.00113422
 -0.01728272]",0.7743374840257881
12762,12762,civil,1797,부당이득금,"가. 원고는 2002년부터 2007년까지 시흥시에 상가건물을 신축하였는데, 공사대금을 2002년도 8,440,000,000원, 2003년도 9,567,000,000원, 2004년도 118,000,000원 등 합계 18,125,000,000원으로 하여 부가가치세를 신고하였다. 나. 안산세무서장은 위 신축공사와 관련하여 2007. 3. 20.부터 2007. 6. 30.까지 세무조사를 실시하여, 원고가 신고한 위 공사대금 중 1,836,000,000원이 가공 계상되었음을 확인하고, 더불어 지급사실이 증빙되거나 장부상 반영되지 않은 공사원가 360,000,000원을 확인하여 총 공사원가를 16,649,000,000원(= 18,125,000,000원 - 1,836,000,000원+ 360,000,000원)으로 확정하였다. 다. 안산세무서장은 위와 같이 가공 계상한 점에 대하여 범칙조사에 회부하기로 하고, 2007. 8. 21. 원고에게 이를 통지하였고, 2007. 8. 22.부터 2007. 8. 31.까지 범칙조사를 실시한 후, 2007. 9. 3. 원고에게 ‘2002귀속년도 1,669,917,730원의 가공원가 계상'을 범칙사항으로, 조세범 처벌법 제9조 제1항 제3호 등을 적용하여 벌금을 부과하되, 원고가 수정신고 후 납부한 것을 감안하여 양정액의 50/100에 해당하는 165,298,910원을 납부할 것을 통고하였고(이하 ‘이 사건 통고처분'이라 한다), 원고는 2007. 9. 17. 위 금원을 납부하였다. 라. 한편 원고는 2007. 8. 24. 세금계산서 수취 금액을 수정신고하면서 2002년 1기분 부가가치세로 9,918,380원을, 2002년 2기분 부가가치세로 190,471,740원을, 2002년 귀속 종합소득세로 290,934,210원을 추가로 납부하였다. 인정 근거 다툼 없는 사실, 갑 제1 내지 6호증(가지번호 포함)의 각 기재, 변론 전체 의 취지",1. 원고의 청구를 기각한다. 2. 소송비용은 원고가 부담한다.,167,"[ 0.00262535 -0.02592657  0.01490477 ... -0.0203623   0.00513394
 -0.01325017]",0.7763551837420319
12272,12272,civil,1141,대여금,"가. 원고는 2013. 3. 21. 소외 회사와 사이에 115,900,000원을 이율 연 15%, 여신만료일 2013. 6. 20.로 정하여 대출하는 내용의 여신거래약정을 체결하고 소외 회사에게 위 대출금을 지급하였고, 이후 위 연신만료일은 2016. 6. 17.로 연장되었다. 나. 소외 회사는 2016. 4.경부터 원고에 대한 대출원리금 상환을 연체하여, 2017. 12. 21. 기준 합계 82,317,042원(=대출잔액 65,421,408원 + 편입전 이자 4,143,404원 + 편입 후 이자 11,165,985원 + 연체이자 1,586,245원)의 대출원리금을 상환하지 않고 있다. 원고와 소외 회사는 원고가 정하는 연체이율에 따른 지연손해금을 지급하기로 약정하였는데, 원고가 정하는 연체이율은 2015. 1. 25. 이후 연 15%이다.",1. 원고의 청구를 기각한다. 2. 소송비용은 원고가 부담한다.,85,"[-0.01487311 -0.02625713  0.01477733 ... -0.00167442  0.01436685
 -0.02224809]",0.7778270699574019
15265,15265,civil,4407,손해배상(기),"가. 파산자 주식회사 코레트신탁(이하 '코레트신탁'이라 한다)은 2001. 1. 19. 신탁업법 제16조에 의한 영업보증공탁으로 액면금 합계 금 1,770,880,000원인 제1종국민주택채권(이하 '국민주택채권'이라 한다) 187매를 피고 산하 서울지방법원에 공탁하였다. 나. 신탁계약상의 수익자인 소외 1은 2000. 2. 22. 수탁자인 코레트신탁을 상대로 신탁계약위반을 이유로 손해배상청구 소송을 제기하여 2002. 6. 26. 서울고등법원에서 금 1,289,674,200원 및 이에 대한 지연손해금의 배상을 명하는 가집행선고부 판결을 선고받았고( 서울고등법원 2001나59790호), 이에 대하여 코레트신탁이 상고하였으나 2002. 11. 26. 대법원에서 상고기각되어 위 판결이 확정되었다. 다. 소외 1은 위 가집행선고부 판결에 기하여 위 공탁된 국민주택채권의 출급을 위하여 2002. 7. 8. 서울지방법원으로부터 코레트신탁이 피고에 대하여 가지는 금 1,442,314,515원 상당의 공탁물회수청구권에 관하여 채권압류 및 전부명령( 서울지방법원 2002타채3795호, 이하 '소외 1의 2002. 7. 8.자 채권압류 및 전부명령'이라 한다)을 받았으나, 이에 대하여 코레트신탁이 항고하여 2002. 8. 29. 위 공탁물회수청구권은 금전채권이 아니라는 이유로 위 채권압류 및 전부명령이 취소되었고( 서울지방법원 2002라2042호) 위 결정은 그 시경 확정되었다. 라. 한편, 원고는 2002. 8. 8. 소외 1을 채무자, 코레트신탁을 제3채무자로 하여 소외 1의 코레트신탁에 대한 위 판결금 중 금 596,595,889원의 채권에 관하여 채권압류 및 전부명령( 서울지방법원 2002타채4582호, 이하 '원고의 2002. 8. 8.자 채권압류 및 전부명령'이라 한다)을 받았고, 위 채권압류 및 전부명령은 그 무렵 소외 1, 코레트신탁에게 각 송달되었으나 이에 대하여 소외 1이 2002. 8. 30. 항고하였다가 그 후 항고취하하여 결국 원고의 2002. 8. 8.자 채권압류 및 전부명령은 2002. 10. 2. 확정되었다. 마. 소외 1은 원고가 받은 원고의 2002. 8. 8.자 채권압류 및 전부명령을 숨긴 채 공탁된 국민주택채권의 반환청구권에 대한 소외 1의 2002. 7. 8.자 채권압류 및 전부명령이 취소된 다음날인 2002. 8. 30. 위 서울고등법원 2001나59790호 가집행선고부 판결과 그 송달증명 및 위 압류·전부명령의 취소결정문을 첨부하여 공탁물출급신청을 하였고, 공탁공무원은 소외 1이 구하는 대로 액면금 합계 금 1,490,000,000원 상당의 국민주택채권 149매를 출급하여 주었다.",1. 원고의 청구를 기각한다. 2. 소송비용은 원고의 부담으로 한다.,266,"[-0.00623674 -0.02327387  0.02558629 ... -0.01289516  0.00139936
 -0.00995022]",0.778124493114488
